date,unit_value_usd,country
2022-09-14,5.08,NEPAL
2022-09-27,5.08,NEPAL
2022-09-08,2277.00,FRANCE
2022-09-15,2277.00,FRANCE
2022-09-26,2326.64,FRANCE
2022-09-26,2311.94,FRANCE
2022-09-30,2375.37,FRANCE
2022-09-02,12.71,ZAMBIA
2022-09-19,12.71,ZAMBIA
2022-09-21,12.71,TURKEY
2022-09-29,3.39,EGYPT
2022-09-09,1.99,NETHERLANDS
2022-09-26,5.65,INDONESIA
2022-09-19,46.59,IRAQ
2022-09-12,19.06,KAZAKHSTAN
2022-09-23,19.06,KAZAKHSTAN
2022-09-10,20.33,BANGLADESH
2022-11-02,0.00,SOUTH AFRICA
2022-11-19,3478.57,UNITED STATES
2022-11-29,0.00,RUSSIAN FEDERATION
2022-11-04,12.18,UGANDA
2022-05-12,2.30,JAPAN
2022-05-10,1978.77,"KOREA, REPUBLIC OF"
2022-05-30,2.08,NETHERLANDS
2022-05-06,2.09,NETHERLANDS
2022-05-20,13.00,TURKEY
2022-05-20,13.00,TURKEY
2022-05-27,2.30,MEXICO
2023-02-13,1840.68,"KOREA, REPUBLIC OF"
2023-02-13,1792.10,CHINA
2023-02-24,3379.91,UNITED STATES
2023-02-15,1.75,CHINA
2022-07-05,2149.68,"KOREA, REPUBLIC OF"
2022-07-26,2633.36,ITALY
2022-07-27,1985.48,"KOREA, REPUBLIC OF"
2022-07-27,2148.83,"KOREA, REPUBLIC OF"
2022-07-06,12.94,UGANDA
2022-07-06,22.65,SOUTH AFRICA
2022-07-01,22.65,SOUTH AFRICA
2022-07-05,22.65,SOUTH AFRICA
2023-03-21,2981.49,UNITED STATES
2023-03-23,1756.41,CHINA
2023-03-23,2.36,JAPAN
2023-03-30,2734.14,ITALY
2023-03-27,2981.49,UNITED STATES
2023-03-27,3782.79,SLOVENIA
2023-03-31,9.91,NEPAL
2023-03-31,2442.34,FRANCE
2023-03-05,3.67,NEPAL
2023-03-18,7.32,RUSSIAN FEDERATION
2023-03-31,12.20,TURKEY
2022-04-12,7.61,SAUDI ARABIA
2022-04-14,2453.40,FRANCE
2022-04-18,2279.63,FRANCE
2022-04-25,2279.66,FRANCE
2022-04-25,2279.66,FRANCE
2022-04-07,4.43,"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF"
2022-04-19,2.17,GERMANY
2022-04-20,4.44,"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF"
2022-02-23,1999.55,CHINA
2022-02-16,2.61,GERMANY
2022-02-14,2.26,NETHERLANDS
2022-06-13,88.54,OMAN
2022-06-21,3290.45,UNITED STATES
2022-06-16,2.00,CHINA
2022-06-16,2.00,CHINA
2022-06-13,3.26,SOUTH AFRICA
2022-06-17,2.30,MEXICO
2022-06-18,20.71,OMAN
2022-06-18,20.71,OMAN
2022-03-01,2.30,GERMANY
2022-03-01,2.30,GERMANY
2022-03-02,10.57,TURKEY
2022-03-10,2162.27,"KOREA, REPUBLIC OF"
2022-03-11,2.17,ITALY
2022-03-12,2.05,CHINA
2022-03-09,2.08,CHINA
2022-03-24,2.05,CHINA
2022-03-24,2.05,CHINA
2022-03-29,2.30,GERMANY
2022-03-30,2.07,CHINA
2022-03-02,6.72,TURKEY
2022-03-26,3131.65,UNITED STATES
2022-03-31,10.88,TURKEY
2022-09-02,12.71,ZAMBIA
2022-09-10,20.33,BANGLADESH
2022-09-09,1.99,NETHERLANDS
2022-09-12,19.06,KAZAKHSTAN
2022-09-14,5.08,NEPAL
2022-09-15,2277.00,FRANCE
2022-09-21,12.71,TURKEY
2022-09-19,46.59,IRAQ
2022-09-23,19.06,KAZAKHSTAN
2022-09-23,19.06,KAZAKHSTAN
2022-08-10,2794.40,UNITED STATES
2022-12-05,4.15,IRAQ
2022-12-05,3.11,IRAQ
2022-12-08,28.10,SPAIN
2022-12-08,28.10,SPAIN
2022-12-16,3518.49,UNITED STATES
2022-12-30,6.11,FRANCE
2022-12-30,6.11,FRANCE
2021-10-08,10.63,UNITED ARAB EMIRATES
2021-10-14,47996.00,CHINA
2021-10-25,16.00,UZBEKISTAN
2021-10-25,45950.40,FRANCE
2021-10-25,108000.00,NETHERLANDS
2021-10-25,1199.00,TURKEY
2021-10-28,48011.00,CHINA
2021-10-30,48011.00,CHINA
2021-10-25,206.62,TURKEY
2021-10-25,1199.00,TURKEY
2021-09-11,10320.00,UNITED ARAB EMIRATES
2021-09-06,32531.00,FRANCE
2021-09-14,27.00,"KOREA, REPUBLIC OF"
2021-09-07,90.72,TURKEY
2021-06-03,29110.00,"KOREA, REPUBLIC OF"
2021-06-10,39480.00,MEXICO
2021-06-15,52092.00,CHINA
2021-06-21,4.00,ERITREA
2021-11-16,43106.00,ITALY
2021-11-02,48011.00,CHINA
2021-11-08,48011.00,CHINA
2021-11-10,55912.00,CHINA
2021-11-15,55922.00,CHINA
2021-11-16,55922.00,CHINA
2021-11-02,40254.00,FRANCE
2021-11-11,40254.00,FRANCE
2021-11-17,33568.00,"KOREA, REPUBLIC OF"
2021-11-18,36000.00,NETHERLANDS
2021-11-18,19.64,KAZAKHSTAN
2021-11-30,171.28,ETHIOPIA
2021-11-17,80640.00,UNITED STATES
2022-01-05,55782.00,CHINA
2022-01-07,55782.00,CHINA
2022-01-15,4550.00,MOZAMBIQUE
2022-01-27,107.70,OMAN
2021-03-05,36960.00,NETHERLANDS
2021-03-09,34000.00,NETHERLANDS
2021-03-12,49822.00,ITALY
2021-03-15,43589.00,ITALY
2021-03-15,34479.00,ITALY
2021-03-19,147.00,UNITED ARAB EMIRATES
2021-03-20,10785.00,UNITED STATES
2021-03-24,28875.00,SPAIN
2021-03-27,4.11,TURKEY
2021-03-31,4.11,TURKEY
2021-03-31,4.11,TURKEY
2021-03-06,33.03,TURKEY
2021-03-06,1330.80,TURKEY
2022-09-06,57.18,CROATIA
2022-09-14,57.18,CROATIA
2022-09-29,57.18,CROATIA
2022-11-26,0.15,RUSSIAN FEDERATION
2022-04-19,3.15,BELGIUM
2022-08-08,2.94,BELGIUM
2022-12-20,2.45,BELGIUM
2021-09-07,51000.00,SWITZERLAND
2021-03-19,24040.00,ITALY
2022-05-24,3938.01,ITALY
2023-02-10,1841.46,"KOREA, REPUBLIC OF"
2023-02-01,2494.72,FRANCE
2023-02-18,1759.77,CHINA
2023-02-23,4468.86,ITALY
2022-07-19,2287.08,FRANCE
2022-07-25,2277.15,FRANCE
2023-03-21,3782.79,SLOVENIA
2023-03-08,2771.41,ITALY
