date,unit_value_usd,country
2022-08-01,77.34,"KOREA, REPUBLIC OF"
2022-08-01,75.76,"KOREA, REPUBLIC OF"
2022-08-01,75.76,"KOREA, REPUBLIC OF"
2022-09-14,1.91,NEPAL
2022-09-14,6.35,NEPAL
2022-09-15,5.42,NEPAL
2022-09-01,771.67,BANGLADESH
2022-09-03,1.51,NEPAL
2022-09-07,1044.09,"IRAN, ISLAMIC REPUBLIC OF"
2022-09-08,0.96,"TANZANIA, UNITED REPUBLIC OF"
2022-09-09,1.03,PHILIPPINES
2022-09-13,1.27,BHUTAN
2022-09-20,1009.23,QATAR
2022-09-21,1427.48,QATAR
2022-09-24,1.04,UGANDA
2022-09-24,1.07,ARGENTINA
2022-09-24,1.07,JORDAN
2022-09-25,1.64,NEPAL
2022-09-06,1093.49,"CONGO, THE DEMOCRATIC REPUBLIC OF THE"
2022-09-21,1093.49,"CONGO, THE DEMOCRATIC REPUBLIC OF THE"
2022-09-30,1050.86,KENYA
2022-09-15,1.79,QATAR
2022-09-02,1128.70,"IRAN, ISLAMIC REPUBLIC OF"
2022-09-03,1081.15,UNITED ARAB EMIRATES
2022-09-03,1081.15,UNITED STATES
2022-09-03,1156.49,UNITED STATES
2022-09-03,1156.49,UNITED ARAB EMIRATES
2022-09-09,1099.95,UNITED ARAB EMIRATES
2022-09-09,1099.95,UNITED STATES
2022-09-02,4.13,NEPAL
2022-09-16,0.00,NEPAL
2022-09-22,4.75,EGYPT
2022-09-29,8.51,EGYPT
2022-09-03,0.78,UNITED ARAB EMIRATES
2022-09-03,0.78,UNITED ARAB EMIRATES
2022-09-07,0.96,BANGLADESH
2022-09-07,0.96,BANGLADESH
2022-09-13,10.48,NEPAL
2022-09-21,2.38,NEPAL
2022-09-07,0.80,"CONGO, THE DEMOCRATIC REPUBLIC OF THE"
2022-09-08,0.80,"CONGO, THE DEMOCRATIC REPUBLIC OF THE"
2022-09-19,19.70,IRAQ
2022-09-03,63.53,FRANCE
2022-09-03,5.08,FRANCE
2022-11-15,1.83,NEPAL
2022-11-01,0.89,"TANZANIA, UNITED REPUBLIC OF"
2022-11-01,1010.42,KUWAIT
2022-11-02,996.50,"TANZANIA, UNITED REPUBLIC OF"
2022-11-03,1.05,SRI LANKA
2022-11-04,1.20,KUWAIT
2022-11-05,815.62,BANGLADESH
2022-11-07,944.84,"IRAN, ISLAMIC REPUBLIC OF"
2022-11-07,0.96,UGANDA
2022-11-11,1002.67,BANGLADESH
2022-11-11,0.97,UGANDA
2022-11-11,1070.58,SRI LANKA
2022-11-12,686.77,BANGLADESH
2022-11-12,974.77,MALDIVES
2022-11-12,0.89,"TANZANIA, UNITED REPUBLIC OF"
2022-11-16,1.14,GHANA
2022-11-19,1027.95,"IRAN, ISLAMIC REPUBLIC OF"
2022-11-19,0.93,KENYA
2022-11-19,1.05,JORDAN
2022-11-20,0.95,NEPAL
2022-11-21,0.91,KENYA
2022-11-21,1.02,PHILIPPINES
2022-11-21,0.96,"TANZANIA, UNITED REPUBLIC OF"
2022-11-22,0.93,KENYA
2022-11-23,0.97,"TANZANIA, UNITED REPUBLIC OF"
2022-11-24,0.96,UGANDA
2022-11-25,0.99,OMAN
