date,unit_value_usd,country
2022-05-10,0.00,UNITED STATES
2022-05-12,3.32,UGANDA
2023-02-22,6.11,NEPAL
2023-02-22,6.11,NEPAL
2022-07-05,3.28,"YEMEN, DEMOCRATIC"
2022-02-25,38.74,MALAYSIA
2022-02-25,38.74,MALAYSIA
2022-03-02,0.00,ZIMBABWE
2022-09-17,0.29,UNITED STATES
2022-08-19,12.69,CANADA
2022-12-08,2.49,NEPAL
2021-09-02,14.16,"CONGO, THE DEMOCRATIC REPUBLIC OF THE"
2021-09-02,24.60,"CONGO, THE DEMOCRATIC REPUBLIC OF THE"
2021-09-28,12.00,THAILAND
2021-06-01,10.00,SRI LANKA
2021-06-01,440.00,SRI LANKA
2023-03-14,1149.85,RUSSIAN FEDERATION
2022-02-01,0.54,NEPAL
