date,unit_value_usd,country
2022-09-14,9.53,NEPAL
2022-09-02,12.71,ZAMBIA
2022-09-19,12.71,ZAMBIA
2022-09-12,6.35,RUSSIAN FEDERATION
2022-09-02,7.62,SAUDI ARABIA
2022-09-30,6.95,TUNISIA
2022-09-22,5.00,BANGLADESH
2022-09-27,69.89,NEPAL
2022-09-19,39.39,IRAQ
2022-09-09,12.71,FRANCE
2022-09-09,5.08,FRANCE
2022-09-09,19.06,FRANCE
2022-09-25,2.38,NEPAL
2022-11-01,12.17,INDONESIA
2022-11-01,12.17,INDONESIA
2022-11-02,4.87,KAZAKHSTAN
2022-11-10,12.18,TURKEY
2022-11-21,12.36,TURKEY
2022-11-23,4.94,KAZAKHSTAN
2022-11-21,37.08,UNITED ARAB EMIRATES
2022-11-18,18.54,SOUTH AFRICA
2022-11-09,42.63,NEPAL
2022-11-01,9.73,NEPAL
2022-11-07,0.00,GERMANY
2022-11-29,18.54,RUSSIAN FEDERATION
2022-11-03,3.04,RUSSIAN FEDERATION
2022-11-03,21.29,RUSSIAN FEDERATION
2022-11-17,194.88,OMAN
2022-11-19,185.41,OMAN
2022-11-11,12.18,SRI LANKA
2022-05-17,8.29,NEPAL
2022-05-19,21.23,SRI LANKA
2022-05-04,10.60,ETHIOPIA
2022-05-30,2.44,NEPAL
2022-05-31,2.44,NEPAL
2022-05-06,0.00,GABON
2022-05-24,19.51,ZAMBIA
2022-05-17,0.00,INDONESIA
2022-05-26,0.00,GERMANY
2022-05-26,65.02,GERMANY
2022-05-26,0.00,GABON
2022-05-26,12.35,KENYA
2022-05-07,4.91,BANGLADESH
2023-02-14,8346.70,TURKEY
2023-02-14,98.70,TURKEY
2023-02-04,76.93,RUSSIAN FEDERATION
2023-02-25,9.60,UNITED ARAB EMIRATES
2023-02-24,7.12,RWANDA
2023-02-24,7.12,RWANDA
2023-02-11,74.03,"KOREA, REPUBLIC OF"
2023-02-22,12.21,PERU
2023-02-22,15.38,PERU
2023-02-06,1098.09,IRAQ
2023-02-06,3.19,UNITED ARAB EMIRATES
2023-02-16,9.25,NEPAL
2023-02-13,0.00,RUSSIAN FEDERATION
2023-02-14,0.00,RUSSIAN FEDERATION
2023-02-14,6.17,"CONGO, THE DEMOCRATIC REPUBLIC OF THE"
2023-02-09,2.71,OMAN
2023-02-14,111.04,TURKEY
2023-02-08,117.21,UGANDA
2023-02-09,117.21,UGANDA
2023-02-08,7.71,RUSSIAN FEDERATION
2023-02-23,189.26,OMAN
2023-02-13,0.00,RUSSIAN FEDERATION
2023-02-13,6.17,"CONGO, THE DEMOCRATIC REPUBLIC OF THE"
2023-02-20,0.00,QATAR
2022-07-16,8.53,ECUADOR
2022-07-16,10.12,ECUADOR
2022-07-22,282.83,SAUDI ARABIA
2022-07-21,19.18,RUSSIAN FEDERATION
2022-07-22,18.94,RUSSIAN FEDERATION
2022-07-22,18.94,RUSSIAN FEDERATION
2022-07-22,25.25,RUSSIAN FEDERATION
2022-07-23,8.94,RUSSIAN FEDERATION
2022-07-23,21.04,RUSSIAN FEDERATION
2022-07-04,25.89,"KOREA, REPUBLIC OF"
2022-07-14,9.59,GHANA
2022-07-11,10.23,UNITED ARAB EMIRATES
2023-03-21,12.20,TUNISIA
2023-03-21,12.20,TUNISIA
2023-03-21,212.48,SUDAN
2023-03-02,24.42,BANGLADESH
2023-03-03,24.46,BANGLADESH
2023-03-28,2.29,NEPAL
2023-03-20,36.61,ZAMBIA
2023-03-18,36.61,ZAMBIA
2023-03-19,5.08,NEPAL
2023-03-01,12.21,NEPAL
2023-03-01,24.42,BANGLADESH
2023-03-11,9.79,GUATEMALA
2023-03-10,55.60,BRAZIL
2023-03-08,24.46,UGANDA
2023-03-08,12.23,UGANDA
2023-03-25,2.44,JORDAN
2023-03-16,36.70,ZAMBIA
2023-03-04,0.00,RUSSIAN FEDERATION
2023-03-30,3.05,BHUTAN
2023-03-30,4.88,BHUTAN
2023-03-30,36.61,ZAMBIA
2023-03-30,4.16,TURKEY
2023-03-27,212.48,SUDAN
2023-03-24,2.44,JORDAN
2023-03-02,0.00,RUSSIAN FEDERATION
2022-04-08,0.40,NEPAL
2022-04-12,4.84,SAUDI ARABIA
2022-04-12,6.66,ZAMBIA
2022-04-08,0.00,SAUDI ARABIA
2022-04-05,13.30,GHANA
2022-04-05,6.65,GHANA
2022-04-05,6.65,GHANA
2022-04-27,1.48,BHUTAN
2022-04-29,2.65,OMAN
2022-04-29,0.00,GABON
2022-04-23,10.60,ETHIOPIA
2022-04-05,4.92,BANGLADESH
2022-04-08,0.00,SAUDI ARABIA
2022-04-12,7.99,SAUDI ARABIA
2022-04-12,13.32,SAUDI ARABIA
2022-04-18,4.93,BANGLADESH
2022-04-06,0.00,SAUDI ARABIA
2022-04-07,6.65,ZAMBIA
2022-04-30,4.96,BANGLADESH
2022-02-08,20.26,KUWAIT
2022-02-08,13.50,QATAR
2022-02-04,94.53,NEPAL
2022-02-21,12.10,UNITED ARAB EMIRATES
2022-02-07,9.45,NEPAL
2022-02-06,18.57,NEPAL
2022-02-06,11.82,NEPAL
2022-02-14,10.80,NEPAL
2022-02-14,135.04,OMAN
2022-02-03,0.00,GREECE
2022-02-05,7.43,BANGLADESH
2022-02-07,135.04,OMAN
2022-06-02,7.80,MALAWI
2022-06-18,258.90,GERMANY
2022-06-18,258.90,GERMANY
2022-06-18,258.90,GERMANY
2022-06-18,258.90,GERMANY
2022-06-04,6.51,KAZAKHSTAN
2022-06-21,4.31,UGANDA
2022-06-22,77.67,OMAN
2022-06-27,5.54,UNITED ARAB EMIRATES
2022-06-25,5.54,UNITED ARAB EMIRATES
2022-06-29,388.35,SAUDI ARABIA
2022-06-29,388.35,SAUDI ARABIA
2022-06-07,6.51,KAZAKHSTAN
2022-06-15,2.60,BANGLADESH
2022-06-21,3.02,BANGLADESH
2022-03-05,6.67,BANGLADESH
2022-03-09,4.94,BANGLADESH
2022-03-09,1.28,GUINEA
2022-03-11,13.34,TUNISIA
2022-03-17,0.00,AZERBAIJAN
2022-03-04,0.00,SAUDI ARABIA
