date,unit_value_usd,country
2022-09-14,10.17,NEPAL
2022-09-22,1.55,"TANZANIA, UNITED REPUBLIC OF"
2022-09-05,1.37,KENYA
2022-09-12,4.94,RUSSIAN FEDERATION
2022-09-28,30.50,NEPAL
2022-09-02,1.91,NEPAL
2022-09-03,26.47,MALDIVES
2022-09-28,1.78,NIGERIA
2022-09-29,1427.49,QATAR
2022-09-21,3.81,GHANA
2022-09-21,6.35,GHANA
2022-09-24,1.52,UNITED ARAB EMIRATES
2022-09-22,1.78,NEPAL
2022-09-17,3.66,BANGLADESH
2022-09-17,3.75,KENYA
2022-09-12,111.82,INDONESIA
2022-09-01,3.55,"IRAN, ISLAMIC REPUBLIC OF"
2022-09-13,22.24,NIGERIA
2022-09-13,22.24,NIGERIA
2022-09-14,22.24,NIGERIA
2022-09-06,1.54,NEPAL
2022-11-03,10.14,ETHIOPIA
2022-11-21,1.93,NEPAL
2022-11-03,1.80,TURKEY
2022-11-03,1.33,SRI LANKA
2022-11-10,1.32,JORDAN
2022-11-15,1.31,"TANZANIA, UNITED REPUBLIC OF"
2022-11-17,1.39,JORDAN
2022-11-19,1.39,JORDAN
2022-11-21,1.30,KENYA
2022-11-24,2.14,NEPAL
2022-11-25,1.34,JORDAN
2022-11-25,1.39,SAUDI ARABIA
2022-11-25,1.37,BANGLADESH
2022-11-27,2.28,NEPAL
2022-11-17,1.33,SRI LANKA
2022-11-01,1849.53,BANGLADESH
2022-11-10,1837.98,BANGLADESH
2022-11-11,1837.98,BANGLADESH
2022-11-12,1235.67,KENYA
2022-11-15,1837.98,BANGLADESH
2022-11-16,1837.98,BANGLADESH
2022-11-16,1837.98,BANGLADESH
2022-11-16,1275.06,AUSTRALIA
2022-11-17,1837.98,BANGLADESH
2022-11-18,1838.21,BANGLADESH
2022-11-09,1.07,SAUDI ARABIA
2022-11-29,2.35,NEPAL
2022-11-03,1.81,NEPAL
2022-11-04,1.81,NEPAL
2022-11-26,1.85,NEPAL
2022-11-27,1.69,NEPAL
2022-11-12,1034.68,UNITED ARAB EMIRATES
2022-11-07,9.38,"TANZANIA, UNITED REPUBLIC OF"
2022-11-08,2049.71,ETHIOPIA
2022-11-11,2.54,"KOREA, REPUBLIC OF"
2022-11-11,0.00,"KOREA, REPUBLIC OF"
2022-11-14,1.80,MYANMAR
2022-11-17,7.25,SOUTH AFRICA
2022-11-21,23.49,BHUTAN
2022-11-09,475.71,OMAN
2022-11-29,0.00,RUSSIAN FEDERATION
2022-11-29,5.73,RUSSIAN FEDERATION
2022-11-29,12.36,RUSSIAN FEDERATION
2022-11-29,6.18,RUSSIAN FEDERATION
2022-11-17,255.79,OMAN
2022-11-19,247.22,OMAN
2022-11-11,9.14,SRI LANKA
