date,unit_value_usd,country
2022-09-15,20.33,NEPAL
2022-09-15,3.47,NEPAL
2022-09-15,17.79,NEPAL
2022-09-14,2.54,NEPAL
2022-09-08,11.94,ANGOLA
2022-09-08,12.71,ETHIOPIA
2022-09-07,6.51,LEBANON
2022-09-10,4.83,FRANCE
2022-09-01,0.41,SRI LANKA
2022-09-02,362.08,NEPAL
2022-09-02,362.36,NEPAL
2022-09-04,362.36,NEPAL
2022-09-04,362.22,NEPAL
2022-09-06,0.38,NEPAL
2022-09-06,485.80,UGANDA
2022-09-08,0.38,NEPAL
2022-09-10,471.34,BANGLADESH
2022-09-10,476.33,BANGLADESH
2022-09-10,394.69,BANGLADESH
2022-09-10,397.40,BANGLADESH
2022-09-12,476.33,BANGLADESH
2022-09-12,476.33,BANGLADESH
2022-09-13,0.38,NEPAL
2022-09-13,0.41,SRI LANKA
2022-09-13,492.85,BANGLADESH
2022-09-13,492.85,BANGLADESH
2022-09-13,0.41,SRI LANKA
2022-09-15,394.69,BANGLADESH
2022-09-16,0.38,NEPAL
2022-09-17,394.69,BANGLADESH
2022-09-17,577.42,BANGLADESH
2022-09-19,496.73,BANGLADESH
2022-09-21,0.38,NEPAL
2022-09-21,474.76,KENYA
2022-09-21,0.49,"TANZANIA, UNITED REPUBLIC OF"
2022-09-22,0.46,BANGLADESH
2022-09-23,541.87,BANGLADESH
2022-09-23,386.91,SRI LANKA
2022-09-24,568.02,BANGLADESH
2022-09-24,480.41,BANGLADESH
2022-09-24,480.41,BANGLADESH
2022-09-01,0.44,SRI LANKA
2022-09-08,0.44,SRI LANKA
2022-09-08,0.43,SRI LANKA
2022-09-09,0.58,SRI LANKA
2022-09-23,0.60,SRI LANKA
2022-09-24,0.58,SRI LANKA
2022-09-20,571.70,KENYA
2022-09-25,4.07,NEPAL
2022-09-27,2.54,BHUTAN
2022-09-27,2.92,NEPAL
2022-09-13,4.57,NEPAL
2022-09-07,0.39,BANGLADESH
2022-09-27,0.38,NEPAL
2022-09-01,0.38,NEPAL
2022-09-02,0.38,NEPAL
2022-09-03,0.38,NEPAL
2022-09-11,0.38,NEPAL
2022-09-11,0.38,NEPAL
2022-09-12,0.38,NEPAL
2022-09-12,0.38,NEPAL
2022-09-16,0.38,NEPAL
2022-09-19,0.38,NEPAL
2022-09-28,0.38,NEPAL
2022-09-26,305.03,SRI LANKA
2022-09-09,304.99,SRI LANKA
2022-09-23,305.10,SRI LANKA
2022-09-08,305.02,SRI LANKA
2022-09-23,304.86,SRI LANKA
2022-09-23,305.01,SRI LANKA
2022-09-06,0.44,SRI LANKA
2022-09-12,0.58,SRI LANKA
2022-09-24,0.32,SRI LANKA
2022-09-24,0.32,SRI LANKA
2022-09-24,0.32,SRI LANKA
2022-09-24,0.32,SRI LANKA
2022-09-24,0.32,SRI LANKA
2022-09-27,0.41,BANGLADESH
2022-09-21,0.47,NEPAL
2022-11-22,0.00,NEPAL
2022-11-21,3.14,NEPAL
2022-11-09,0.00,SPAIN
2022-11-12,8.53,ZAMBIA
2022-11-18,7.42,ZAMBIA
2022-11-23,6.50,LEBANON
2022-11-24,5.45,LEBANON
2022-11-01,0.47,UGANDA
2022-11-03,529.74,KENYA
2022-11-03,0.50,"TANZANIA, UNITED REPUBLIC OF"
2022-11-04,383.77,NEPAL
2022-11-04,414.63,BANGLADESH
2022-11-05,454.55,BANGLADESH
2022-11-07,444.57,BANGLADESH
2022-11-10,514.99,KENYA
