date,unit_value_usd,country
2022-05-27,65.02,BRAZIL
2023-02-16,1.23,ALGERIA
2023-03-16,2.45,BANGLADESH
2023-03-20,2.44,BANGLADESH
2023-03-30,0.00,CHINA
2022-03-30,0.00,UNITED STATES
2022-08-17,0.25,NEPAL
2022-08-23,0.00,ETHIOPIA
2022-08-23,0.00,ETHIOPIA
2022-08-22,0.00,ETHIOPIA
2022-08-22,0.00,ETHIOPIA
2021-09-22,110000.00,NEPAL
2021-09-28,75.00,THAILAND
2022-01-13,2.01,BRAZIL
2022-01-20,1.08,OMAN
2021-03-04,174.80,BRAZIL
2021-03-08,100.00,GERMANY
2021-03-10,1.00,GERMANY
2023-03-02,0.00,UNITED ARAB EMIRATES
