date,unit_value_usd,country
2022-09-04,2.60,"CONGO, THE DEMOCRATIC REPUBLIC OF THE"
2022-09-07,0.65,"CONGO, THE DEMOCRATIC REPUBLIC OF THE"
2022-09-08,0.65,"CONGO, THE DEMOCRATIC REPUBLIC OF THE"
2022-09-16,5.08,ZAMBIA
2022-11-30,15.45,BHUTAN
2022-11-23,4.94,ZAMBIA
2022-11-12,10.96,ZAMBIA
2022-11-18,11.12,ZAMBIA
2022-11-11,10.23,SRI LANKA
2022-05-02,1.53,GABON
2022-05-17,8.63,NEPAL
2022-05-06,26.54,GABON
2022-05-19,11.94,TOGO
2022-05-30,1.52,NEPAL
2022-05-27,91.03,BRAZIL
2022-05-26,26.01,GABON
2022-05-04,0.97,BANGLADESH
2022-05-03,0.97,BANGLADESH
2022-05-21,1.56,NEPAL
2023-02-14,3.87,UNITED STATES
2023-02-24,1137.48,EGYPT
2023-02-14,0.00,"CONGO, THE DEMOCRATIC REPUBLIC OF THE"
2023-02-04,10.73,IRAQ
2023-02-04,10.73,IRAQ
2023-02-03,6.71,MALDIVES
2023-02-04,1.05,SRI LANKA
2023-02-01,12.41,KUWAIT
2023-02-09,123.38,UGANDA
2023-02-06,1.23,NEPAL
2023-02-03,3.08,MYANMAR
2023-02-20,19.54,OMAN
2023-02-15,1.10,NEPAL
2023-02-20,1.63,OMAN
2023-02-15,1.10,NEPAL
2023-02-16,1.13,NEPAL
2023-02-16,2.31,NEPAL
2023-02-16,1396.68,KENYA
2023-02-16,1396.03,KENYA
2023-02-16,5.48,NEPAL
2023-02-02,6.21,UGANDA
2023-02-22,1284.57,GUATEMALA
2022-07-25,2.25,"CONGO, THE DEMOCRATIC REPUBLIC OF THE"
2022-07-24,1.50,NEPAL
2022-07-01,1.66,NEPAL
2022-07-30,1.45,SRI LANKA
2022-07-30,0.00,BAHRAIN
2022-07-30,0.00,BAHRAIN
2022-07-28,12.63,ZAMBIA
2022-07-05,2.59,"YEMEN, DEMOCRATIC"
2022-07-04,9.71,NEPAL
2022-07-26,4.21,NEPAL
2022-07-13,1.76,NEPAL
2022-07-07,1530.00,UNITED STATES
2022-07-07,1530.01,UNITED STATES
2022-07-05,1.46,NEPAL
2022-07-05,1639.90,UNITED STATES
2022-07-06,2.59,UGANDA
2022-07-29,26.30,ZAMBIA
2023-03-28,3.87,UNITED STATES
2023-03-28,3.87,UNITED STATES
2023-03-22,6.03,KUWAIT
2023-03-01,1095.06,GABON
2023-03-11,1015.29,NEPAL
2023-03-11,1015.29,NEPAL
2023-03-13,1.20,NEPAL
2023-03-13,1.20,NEPAL
2023-03-11,9.79,GUATEMALA
2023-03-21,1103.00,SOUTH AFRICA
2023-03-16,40.00,UNITED ARAB EMIRATES
2023-03-16,24.46,ZAMBIA
2023-03-15,1.16,BANGLADESH
2023-03-25,5.49,BANGLADESH
2023-03-03,1.13,NEPAL
2023-03-05,0.80,NEPAL
2023-03-05,6.12,NEPAL
2023-03-05,1.70,NEPAL
2023-03-05,3.06,NEPAL
2023-03-18,75.17,UNITED ARAB EMIRATES
2023-03-18,75.05,UNITED ARAB EMIRATES
2023-03-18,38.07,UNITED ARAB EMIRATES
