date,unit_value_usd,country
2022-09-03,2.69,UNITED KINGDOM
2022-09-16,2.54,NETHERLANDS
2022-09-19,2.61,SINGAPORE
2022-09-28,2.83,UNITED STATES
2022-09-27,0.00,UNITED KINGDOM
2022-09-07,0.00,UNITED KINGDOM
2022-09-07,0.00,UNITED KINGDOM
2022-09-09,7.62,FRANCE
2022-11-22,3.71,NEPAL
2022-11-22,14.42,NEPAL
2022-11-18,2.87,FRANCE
2022-11-29,2.62,SINGAPORE
2022-11-09,5.08,PHILIPPINES
2022-11-19,5.15,PHILIPPINES
2022-11-21,5.15,PHILIPPINES
2022-11-15,34.71,RUSSIAN FEDERATION
2022-11-15,42.63,RUSSIAN FEDERATION
2022-11-28,0.00,ISRAEL
2022-11-28,0.00,CZECH REPUBLIC
2022-11-14,115.71,UNITED ARAB EMIRATES
2022-11-14,115.71,UNITED ARAB EMIRATES
2022-11-22,0.00,GERMANY
2022-11-29,0.00,RUSSIAN FEDERATION
2022-11-29,6.18,RUSSIAN FEDERATION
2022-11-29,12.36,RUSSIAN FEDERATION
2022-11-29,12.36,RUSSIAN FEDERATION
2022-11-11,12.18,UNITED ARAB EMIRATES
2022-05-09,2.96,NETHERLANDS
2022-05-09,2.96,NETHERLANDS
2022-05-04,56.99,ETHIOPIA
2022-05-06,10.62,GABON
2022-05-14,6.64,NEPAL
2022-05-26,4.88,KENYA
2023-02-02,2.36,UNITED KINGDOM
2023-02-07,2.99,NETHERLANDS
2023-02-15,2.51,UNITED STATES
2023-02-14,24.68,TURKEY
2023-02-22,0.00,UNITED KINGDOM
2023-02-10,6.17,COLOMBIA
2023-02-11,12338.06,MYANMAR
2023-02-16,0.00,OMAN
2023-02-14,6.17,"CONGO, THE DEMOCRATIC REPUBLIC OF THE"
2023-02-14,4.06,SWITZERLAND
2023-02-03,0.00,UNITED KINGDOM
2023-02-13,12.34,RUSSIAN FEDERATION
2023-02-13,0.00,RUSSIAN FEDERATION
2023-02-08,19.39,RUSSIAN FEDERATION
2023-02-13,6.17,"CONGO, THE DEMOCRATIC REPUBLIC OF THE"
2023-02-02,3.50,UNITED KINGDOM
2023-02-02,5.79,ISRAEL
2023-02-06,2.50,UNITED KINGDOM
2023-02-06,2.50,UNITED KINGDOM
2023-02-03,12.34,MYANMAR
2023-02-03,20.56,MYANMAR
